Algorithm,Dataset,Environment,Reward_mean,Reward_std,Steps,Seed
BC,optimal,train,1.0,0.0,200,12
BC,optimal,test_100,0.225,0.41758232721225164,200,12
BC,optimal,test_0,0.0,0.0,200,12
BC,optimal,train,1.0,0.0,400,12
BC,optimal,test_100,0.225,0.41758232721225164,400,12
BC,optimal,test_0,0.0,0.0,400,12
BC,optimal,train,1.0,0.0,600,12
BC,optimal,test_100,0.225,0.4175823272122517,600,12
BC,optimal,test_0,0.0,0.0,600,12
BC,optimal,train,1.0,0.0,800,12
BC,optimal,test_100,0.225,0.4175823272122517,800,12
BC,optimal,test_0,0.0,0.0,800,12
BC,optimal,train,1.0,0.0,1000,12
BC,optimal,test_100,0.2,0.4000000000000001,1000,12
BC,optimal,test_0,0.0,0.0,1000,12
