Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,optimal,40,train,0.0,0.0,0,23
BC,optimal,40,test_100,0.0,0.0,0,23
BC,optimal,40,test_0,0.0,0.0,0,23
BC,optimal,40,train,1.0,0.0,1000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,1000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,1000,23
BC,optimal,40,train,1.0,0.0,2000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,2000,23
BC,optimal,40,test_0,0.2,0.4,2000,23
BC,optimal,40,train,1.0,0.0,3000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,3000,23
BC,optimal,40,test_0,0.175,0.3799671038392666,3000,23
BC,optimal,40,train,1.0,0.0,4000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,4000,23
BC,optimal,40,test_0,0.175,0.3799671038392666,4000,23
BC,optimal,40,train,1.0,0.0,5000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,5000,23
BC,optimal,40,test_0,0.2,0.4,5000,23
BC,optimal,40,train,1.0,0.0,6000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,6000,23
BC,optimal,40,test_0,0.2,0.4,6000,23
BC,optimal,40,train,1.0,0.0,7000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,7000,23
BC,optimal,40,test_0,0.2,0.4,7000,23
BC,optimal,40,train,1.0,0.0,8000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,8000,23
BC,optimal,40,test_0,0.2,0.4,8000,23
BC,optimal,40,train,1.0,0.0,9000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,9000,23
BC,optimal,40,test_0,0.2,0.4,9000,23
BC,optimal,40,train,1.0,0.0,10000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,10000,23
BC,optimal,40,test_0,0.2,0.4,10000,23
BC,optimal,40,train,1.0,0.0,11000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,11000,23
BC,optimal,40,test_0,0.2,0.4,11000,23
BC,optimal,40,train,1.0,0.0,12000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,12000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,12000,23
BC,optimal,40,train,1.0,0.0,13000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,13000,23
BC,optimal,40,test_0,0.2,0.4,13000,23
BC,optimal,40,train,1.0,0.0,14000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,14000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,14000,23
BC,optimal,40,train,1.0,0.0,15000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,15000,23
BC,optimal,40,test_0,0.2,0.4,15000,23
BC,optimal,40,train,1.0,0.0,16000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,16000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,16000,23
BC,optimal,40,train,1.0,0.0,17000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,17000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,17000,23
BC,optimal,40,train,1.0,0.0,18000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,18000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,18000,23
BC,optimal,40,train,1.0,0.0,19000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,19000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,19000,23
BC,optimal,40,train,1.0,0.0,20000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,20000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,20000,23
BC,optimal,40,train,1.0,0.0,21000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,21000,23
BC,optimal,40,test_0,0.2,0.4,21000,23
BC,optimal,40,train,1.0,0.0,22000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,22000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,22000,23
BC,optimal,40,train,1.0,0.0,23000,23
BC,optimal,40,test_100,0.35,0.4769696007084729,23000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,23000,23
BC,optimal,40,train,1.0,0.0,24000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,24000,23
BC,optimal,40,test_0,0.2,0.4,24000,23
BC,optimal,40,train,1.0,0.0,25000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,25000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,25000,23
BC,optimal,40,train,1.0,0.0,26000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,26000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,26000,23
BC,optimal,40,train,1.0,0.0,27000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,27000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,27000,23
BC,optimal,40,train,1.0,0.0,28000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,28000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,28000,23
BC,optimal,40,train,1.0,0.0,29000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,29000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,29000,23
BC,optimal,40,train,1.0,0.0,30000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,30000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,30000,23
BC,optimal,40,train,1.0,0.0,31000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,31000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,31000,23
BC,optimal,40,train,1.0,0.0,32000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,32000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,32000,23
BC,optimal,40,train,1.0,0.0,33000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,33000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,33000,23
BC,optimal,40,train,1.0,0.0,34000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,34000,23
BC,optimal,40,test_0,0.225,0.4175823272122516,34000,23
BC,optimal,40,train,1.0,0.0,35000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,35000,23
BC,optimal,40,test_0,0.2,0.4000000000000001,35000,23
BC,optimal,40,train,1.0,0.0,36000,23
BC,optimal,40,test_100,0.375,0.4841229182759271,36000,23
BC,optimal,40,test_0,0.2,0.4000000000000001,36000,23
BC,optimal,40,train,1.0,0.0,37000,23
BC,optimal,40,test_100,0.325,0.4683748498798799,37000,23
BC,optimal,40,test_0,0.2,0.4000000000000001,37000,23
BC,optimal,40,train,1.0,0.0,38000,23
