Algorithm,Dataset,Size,Environment,Reward_mean,Reward_std,Steps,Seed
BC,suboptimal,80,train,0.0,0.0,0,21
BC,suboptimal,80,test_100,0.0,0.0,0,21
BC,suboptimal,80,test_0,0.0,0.0,0,21
BC,suboptimal,80,train,0.175,0.3799671038392666,1000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,1000,21
BC,suboptimal,80,test_0,0.1,0.3,1000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,2000,21
BC,suboptimal,80,test_100,0.2,0.4,2000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,2000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,3000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,3000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,3000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,4000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,4000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,4000,21
BC,suboptimal,80,train,0.35,0.4769696007084728,5000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,5000,21
BC,suboptimal,80,test_0,0.175,0.3799671038392666,5000,21
BC,suboptimal,80,train,0.35,0.4769696007084728,6000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,6000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,6000,21
BC,suboptimal,80,train,0.425,0.4943429983321297,7000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,7000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,7000,21
BC,suboptimal,80,train,0.3,0.4582575694955839,8000,21
BC,suboptimal,80,test_100,0.2,0.4,8000,21
BC,suboptimal,80,test_0,0.1,0.3,8000,21
BC,suboptimal,80,train,0.325,0.4683748498798799,9000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,9000,21
BC,suboptimal,80,test_0,0.175,0.3799671038392666,9000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,10000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,10000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,10000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,11000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,11000,21
BC,suboptimal,80,test_0,0.275,0.4465142774872938,11000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,12000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,12000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,12000,21
BC,suboptimal,80,train,0.35,0.4769696007084728,13000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,13000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,13000,21
BC,suboptimal,80,train,0.325,0.4683748498798799,14000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,14000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,14000,21
BC,suboptimal,80,train,0.425,0.4943429983321297,15000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,15000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,15000,21
BC,suboptimal,80,train,0.45,0.49749371855331,16000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,16000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,16000,21
BC,suboptimal,80,train,0.3,0.458257569495584,17000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,17000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,17000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,18000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,18000,21
BC,suboptimal,80,test_0,0.2,0.4000000000000001,18000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,19000,21
BC,suboptimal,80,test_100,0.2,0.4,19000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,19000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,20000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,20000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,20000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,21000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,21000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,21000,21
BC,suboptimal,80,train,0.45,0.49749371855331,22000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,22000,21
BC,suboptimal,80,test_0,0.2,0.4,22000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,23000,21
BC,suboptimal,80,test_100,0.175,0.3799671038392666,23000,21
BC,suboptimal,80,test_0,0.125,0.3307189138830738,23000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,24000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,24000,21
BC,suboptimal,80,test_0,0.175,0.3799671038392666,24000,21
BC,suboptimal,80,train,0.4,0.4898979485566356,25000,21
BC,suboptimal,80,test_100,0.225,0.4175823272122516,25000,21
BC,suboptimal,80,test_0,0.2,0.4,25000,21
BC,suboptimal,80,train,0.325,0.4683748498798799,26000,21
BC,suboptimal,80,test_100,0.2,0.4,26000,21
BC,suboptimal,80,test_0,0.175,0.3799671038392666,26000,21
BC,suboptimal,80,train,0.325,0.4683748498798799,27000,21
BC,suboptimal,80,test_100,0.2,0.4000000000000001,27000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,27000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,28000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,28000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,28000,21
BC,suboptimal,80,train,0.375,0.4841229182759271,29000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,29000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,29000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,30000,21
BC,suboptimal,80,test_100,0.2,0.4,30000,21
BC,suboptimal,80,test_0,0.175,0.3799671038392666,30000,21
BC,suboptimal,80,train,0.35,0.4769696007084729,31000,21
BC,suboptimal,80,test_100,0.15,0.3570714214271425,31000,21
BC,suboptimal,80,test_0,0.15,0.3570714214271425,31000,21
